hotel,price,date
2,Generator Hamburg,€ 15,2021-08-04
3,Courtyard by Marriott Hamburg Airport,€ 109,2021-08-04
"4,""Crowne Plaza Hamburg City Centre, an IHG Hotel"",€ 129,2021-08-04"
5,prizeotel Hamburg-City,€ 77,2021-08-04
6,ibis Hotel Hamburg Alster Centrum,€ 85,2021-08-04
7,Novotel Hamburg City Alster,€ 124,2021-08-04
8,Super 8 by Wyndham Hamburg Mitte,€ 131,2021-08-04
9,Best Western Plaza Hotel Hamburg,€ 67,2021-08-04
10,ibis Hotel Hamburg Airport,€ 67,2021-08-04
11,Leonardo Hotel Hamburg Elbbrücken,€ 94,2021-08-04
12,Ibis budget Hamburg City Ost,€ 59,2021-08-04
13,H4 Hotel Hamburg Bergedorf,€ 95,2021-08-04
14,ARCOTEL Onyx Hamburg,€ 125,2021-08-04
15,Lindner Hotel Am Michel,€ 170,2021-08-04
"16,""Holiday Inn Hamburg, an IHG Hotel"",€ 119,2021-08-04"
17,NH Hamburg Horner Rennbahn,€ 107,2021-08-04
18,Park Hotel am Berliner Tor,€ 112,2021-08-04
19,Leonardo Hotel Hamburg Airport,€ 99,2021-08-04
20,NH Hamburg Mitte,€ 125,2021-08-04
21,NH Hamburg Altona,€ 125,2021-08-04
22,Leonardo Hotel Hamburg Stillhorn,€ 89,2021-08-04
"23,""Holiday Inn - Hamburg - HafenCity, an IHG Hotel"",€ 179,2021-08-04"
24,ARCOTEL Rubin Hamburg,€ 95,2021-08-04
0,Apartment-Hotel Hamburg Mitte,€ 147,2021-08-06
1,NH Collection Hamburg City,€ 179,2021-08-06
2,Le Méridien Hamburg,€ 398,2021-08-06
3,Renaissance Hamburg Hotel,€ 229,2021-08-06
4,The Westin Hamburg,€ 570,2021-08-06
5,Generator Hamburg,€ 15,2021-08-06
"6,""Holiday Inn Hamburg - City Nord, an IHG Hotel"",€ 104,2021-08-06"
"7,""Crowne Plaza Hamburg City Centre, an IHG Hotel"",€ 169,2021-08-06"
8,prizeotel Hamburg-City,€ 91,2021-08-06
9,Super 8 by Wyndham Hamburg Mitte,€ 131,2021-08-06
10,Novotel Hamburg City Alster,€ 129,2021-08-06
11,ibis budget Hamburg Altona,€ 59,2021-08-06
12,Leonardo Hotel Hamburg Elbbrücken,€ 94,2021-08-06
13,ibis Hotel Hamburg Alster Centrum,€ 129,2021-08-06
14,Ibis budget Hamburg City Ost,€ 63,2021-08-06
15,Lindner Hotel Am Michel,€ 182,2021-08-06
"16,""Holiday Inn - Hamburg - HafenCity, an IHG Hotel"",€ 179,2021-08-06"
17,INNSiDE by Meliá Hamburg Hafen,€ 185,2021-08-06
18,ARCOTEL Onyx Hamburg,€ 180,2021-08-06
19,NH Hamburg Altona,€ 150,2021-08-06
20,NH Hamburg Horner Rennbahn,€ 125,2021-08-06
21,prizeotel Hamburg-St.Pauli,€ 126,2021-08-06
22,H4 Hotel Hamburg Bergedorf,€ 103,2021-08-06
23,Park Hotel am Berliner Tor,€ 148,2021-08-06
24,ibis Hamburg Alsterring,€ 79,2021-08-06
0,Hotel Rahlstedter Hof,€ 49,2021-08-07
"1,""Holiday Inn - Hamburg - Berliner Tor, an IHG Hotel"",€ 169,2021-08-07"
2,Apartment-Hotel Hamburg Mitte,€ 187,2021-08-07
3,NH Collection Hamburg City,€ 218,2021-08-07
4,Hamburg Marriott Hotel,€ 219,2021-08-07
5,The Westin Hamburg,€ 570,2021-08-07
6,Hampton By Hilton Hamburg City Centre,€ 170,2021-08-07
7,Generator Hamburg,€ 20,2021-08-07
8,prizeotel Hamburg-City,€ 123,2021-08-07
9,Courtyard by Marriott Hamburg Airport,€ 109,2021-08-07
10,Super 8 by Wyndham Hamburg Mitte,€ 144,2021-08-07
"11,""Holiday Inn - Hamburg - HafenCity, an IHG Hotel"",€ 309,2021-08-07"
12,Best Western Plaza Hotel Hamburg,€ 97,2021-08-07
13,Park Hotel am Berliner Tor,€ 148,2021-08-07
14,prizeotel Hamburg-St.Pauli,€ 153,2021-08-07
15,NH Hamburg Altona,€ 152,2021-08-07
16,ARCOTEL Onyx Hamburg,€ 139,2021-08-07
17,Ibis budget Hamburg City Ost,€ 63,2021-08-07
"18,""Radisson Blu Hotel, Hamburg Airport"",€ 169,2021-08-07"
19,Park Hotel Hamburg Arena,€ 117,2021-08-07
20,NH Hamburg Horner Rennbahn,€ 116,2021-08-07
