,index,hotel,price,date,mean
95,20,Leonardo Hotel Hamburg Stillhorn,79.0,2021-08-03,
96,21,NH Hamburg Mitte,137.0,2021-08-03,
97,22,Leonardo Hotel Hamburg City Nord,94.0,2021-08-03,
98,23,Select Hotel Hamburg Nord,72.0,2021-08-03,
99,24,NH Hamburg Altona,129.0,2021-08-03,
100,0,Holiday Inn - Hamburg - Berliner Tor an IHG Hotel,169.0,2021-08-04,
101,1,Renaissance Hamburg Hotel,189.0,2021-08-04,
102,2,Generator Hamburg,15.0,2021-08-04,
103,3,Courtyard by Marriott Hamburg Airport,109.0,2021-08-04,
104,"4,""Crowne Plaza Hamburg City Centre, an IHG Hotel"",€ 129,2021-08-04",,,,
105,5,prizeotel Hamburg-City,77.0,2021-08-04,
106,6,ibis Hotel Hamburg Alster Centrum,85.0,2021-08-04,
107,7,Novotel Hamburg City Alster,124.0,2021-08-04,
108,8,Super 8 by Wyndham Hamburg Mitte,131.0,2021-08-04,
109,9,Best Western Plaza Hotel Hamburg,67.0,2021-08-04,
110,10,ibis Hotel Hamburg Airport,67.0,2021-08-04,
111,11,Leonardo Hotel Hamburg Elbbrücken,94.0,2021-08-04,
112,12,Ibis budget Hamburg City Ost,59.0,2021-08-04,
113,13,H4 Hotel Hamburg Bergedorf,95.0,2021-08-04,
114,14,ARCOTEL Onyx Hamburg,125.0,2021-08-04,
115,15,Lindner Hotel Am Michel,170.0,2021-08-04,
116,"16,""Holiday Inn Hamburg, an IHG Hotel"",€ 119,2021-08-04",,,,
117,17,NH Hamburg Horner Rennbahn,107.0,2021-08-04,
118,18,Park Hotel am Berliner Tor,112.0,2021-08-04,
119,19,Leonardo Hotel Hamburg Airport,99.0,2021-08-04,
120,20,NH Hamburg Mitte,125.0,2021-08-04,
121,21,NH Hamburg Altona,125.0,2021-08-04,
122,22,Leonardo Hotel Hamburg Stillhorn,89.0,2021-08-04,
123,"23,""Holiday Inn - Hamburg - HafenCity, an IHG Hotel"",€ 179,2021-08-04",,,,
124,24,ARCOTEL Rubin Hamburg,95.0,2021-08-04,
125,0,Apartment-Hotel Hamburg Mitte,147.0,2021-08-06,
126,1,NH Collection Hamburg City,179.0,2021-08-06,
127,2,Le Méridien Hamburg,398.0,2021-08-06,
128,3,Renaissance Hamburg Hotel,229.0,2021-08-06,
129,4,The Westin Hamburg,570.0,2021-08-06,
130,5,Generator Hamburg,15.0,2021-08-06,
131,"6,""Holiday Inn Hamburg - City Nord, an IHG Hotel"",€ 104,2021-08-06",,,,
132,"7,""Crowne Plaza Hamburg City Centre, an IHG Hotel"",€ 169,2021-08-06",,,,
133,8,prizeotel Hamburg-City,91.0,2021-08-06,
134,9,Super 8 by Wyndham Hamburg Mitte,131.0,2021-08-06,
135,10,Novotel Hamburg City Alster,129.0,2021-08-06,
136,11,ibis budget Hamburg Altona,59.0,2021-08-06,
137,12,Leonardo Hotel Hamburg Elbbrücken,94.0,2021-08-06,
138,13,ibis Hotel Hamburg Alster Centrum,129.0,2021-08-06,
139,14,Ibis budget Hamburg City Ost,63.0,2021-08-06,
140,15,Lindner Hotel Am Michel,182.0,2021-08-06,
141,"16,""Holiday Inn - Hamburg - HafenCity, an IHG Hotel"",€ 179,2021-08-06",,,,
142,17,INNSiDE by Meliá Hamburg Hafen,185.0,2021-08-06,
143,18,ARCOTEL Onyx Hamburg,180.0,2021-08-06,
144,19,NH Hamburg Altona,150.0,2021-08-06,
145,20,NH Hamburg Horner Rennbahn,125.0,2021-08-06,
146,21,prizeotel Hamburg-St.Pauli,126.0,2021-08-06,
147,22,H4 Hotel Hamburg Bergedorf,103.0,2021-08-06,
